age,age_onset,birthplace,filename,native_language,sex,speakerid,country,zero_crossing_rate
54.0,10.0,"erding, bavaria, germany",bavarian1,bavarian,female,687,germany,95745.0
52.0,10.0,"berchtesgaden, germany",bavarian2,bavarian,female,1045,germany,89589.0
34.0,3.5,"durgapur, west bengal, india",bengali11,bengali,male,1018,india,57591.0
26.0,4.0,"kolkata, india",bengali14,bengali,male,1973,india,50458.0
29.0,4.0,"jamshedpur, jharkhand, india",bengali6,bengali,male,624,india,57873.0
61.0,12.0,"kolkata, india",bengali9,bengali,female,987,india,64991.0
22.0,12.0,"hong kong, china",cantonese1,cantonese,female,45,china,71807.0
25.0,3.0,"xiamen, fujian, china",cantonese10,cantonese,female,505,china,84667.0
22.0,3.0,"hong kong, china",cantonese11,cantonese,female,544,china,87584.0
20.0,4.0,"macau, china",cantonese12,cantonese,female,602,china,112600.0
21.0,3.0,"hong kong, china",cantonese13,cantonese,female,730,china,117032.0
19.0,3.0,"hong kong, china",cantonese14,cantonese,female,742,china,57798.0
31.0,12.0,"qingyuan, guangdong, china",cantonese15,cantonese,female,862,china,103966.0
29.0,3.0,"hong kong, china",cantonese16,cantonese,female,874,china,50014.0
26.0,3.0,"hong kong, china",cantonese17,cantonese,female,878,china,54876.0
19.0,3.0,"hong kong, china",cantonese18,cantonese,male,885,china,33104.0
28.0,7.0,"hong kong, china",cantonese19,cantonese,female,1247,china,121309.0
20.0,13.0,"hong kong, china",cantonese2,cantonese,male,46,china,143869.0
18.0,3.0,"hong kong, china",cantonese20,cantonese,male,1480,china,56161.0
18.0,4.0,"hong kong, china",cantonese21,cantonese,female,1558,china,100244.0
30.0,3.0,"hong kong, china",cantonese22,cantonese,female,1974,china,92974.0
33.0,6.0,"hong kong, china",cantonese23,cantonese,male,1975,china,76150.0
22.0,6.0,"hong kong, china",cantonese3,cantonese,male,47,china,104001.0
29.0,13.0,"fuzhou, fujian, china",cantonese4,cantonese,female,48,china,165365.0
18.0,14.0,"hong kong, china",cantonese5,cantonese,male,49,china,84928.0
25.0,5.0,"hong kong, china",cantonese6,cantonese,male,462,china,119493.0
31.0,4.0,"hong kong, china",cantonese7,cantonese,male,494,china,93470.0
23.0,2.0,"hong kong, china",cantonese8,cantonese,female,498,china,53993.0
22.0,7.0,"hong kong, china",cantonese9,cantonese,male,502,china,102452.0
39.0,12.0,"essen, belgium",dutch10,dutch,male,913,belgium,74359.0
41.0,14.0,"brugge, belgium",dutch11,dutch,male,929,belgium,60104.0
23.0,12.0,"antwerp, belgium",dutch16,dutch,female,1260,belgium,78049.0
21.0,12.0,"wilrijk, belgium",dutch17,dutch,female,1261,belgium,107215.0
23.0,14.0,"antwerp, belgium",dutch18,dutch,male,1262,belgium,93141.0
22.0,11.0,"heist-op-den-berg, belgium",dutch19,dutch,female,1263,belgium,94336.0
21.0,13.0,"vlaams-brabant, belgium",dutch20,dutch,female,1264,belgium,95118.0
21.0,13.0,"diest, belgium",dutch21,dutch,female,1265,belgium,112102.0
23.0,13.0,"essen, belgium",dutch22,dutch,female,1266,belgium,75511.0
23.0,13.0,"antwerp, belgium",dutch23,dutch,male,1268,belgium,77141.0
23.0,14.0,"seoul, south korea",dutch24,dutch,female,1269,south korea,96614.0
23.0,13.0,"wilrijk, belgium",dutch25,dutch,female,1270,belgium,81799.0
23.0,13.0,"turnhout, belgium",dutch26,dutch,female,1271,belgium,72943.0
21.0,13.0,"antwerp, belgium",dutch27,dutch,female,1274,belgium,99151.0
22.0,8.0,"antwerp, belgium",dutch28,dutch,male,1275,belgium,59627.0
21.0,14.0,"sint-niklaas, belgium",dutch30,dutch,female,1462,belgium,137613.0
23.0,13.0,"antwerp, belgium",dutch31,dutch,female,1463,belgium,80309.0
21.0,14.0,"brasschaat, belgium",dutch32,dutch,male,1464,belgium,225586.0
22.0,9.0,"mechelen, belgium",dutch33,dutch,female,1466,belgium,112037.0
22.0,14.0,"bornem, belgium",dutch34,dutch,female,1468,belgium,98247.0
21.0,13.0,"mortsel, belgium",dutch35,dutch,female,1473,belgium,49062.0
21.0,12.0,"turnhout, belgium",dutch36,dutch,female,1476,belgium,59981.0
21.0,11.0,"antwerp, belgium",dutch37,dutch,female,1479,belgium,90556.0
21.0,12.0,"beveren, belgium",dutch38,dutch,female,1481,belgium,59869.0
18.0,10.0,"bilzen, flanders, belgium",dutch4,dutch,male,743,belgium,141406.0
21.0,12.0,"antwerp, belgium",dutch44,dutch,female,1740,belgium,132577.0
22.0,2.0,"sint niklaas, belgium",dutch45,dutch,male,1742,belgium,45102.0
22.0,12.0,"hulshout, belgium",dutch46,dutch,female,1743,belgium,98855.0
46.0,10.0,"brussels, belgium",dutch6,dutch,female,847,belgium,87106.0
42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,male,61,usa,75811.0
35.0,0.0,"davenport, iowa, usa",english10,english,female,62,usa,47614.0
23.0,0.0,"miami, florida, usa",english100,english,female,63,usa,68444.0
18.0,0.0,"toronto, ontario, canada",english101,english,female,64,canada,76654.0
22.0,0.0,"torrington, connecticut, usa",english102,english,male,65,usa,81440.0
21.0,0.0,"staten island, new york, usa",english103,english,male,66,usa,31624.0
18.0,0.0,"youngstown, ohio, usa",english104,english,female,67,usa,49053.0
57.0,0.0,"windsor, ontario, canada",english105,english,male,407,canada,59287.0
39.0,0.0,"los angeles, california, usa",english106,english,female,408,usa,73988.0
19.0,0.0,"chicago, illinois, usa",english107,english,male,416,usa,77694.0
21.0,0.0,"strabane, northern ireland, uk",english108,english,male,419,uk,52756.0
26.0,0.0,"concord, new hampshire, usa",english109,english,female,420,usa,61911.0
35.0,0.0,"staffordshire, uk",english11,english,female,68,uk,77633.0
21.0,0.0,"great yarmouth, norfolk, uk",english110,english,male,421,uk,86752.0
21.0,0.0,"bombay, india",english111,english,male,426,india,65224.0
31.0,0.0,"wrexham, wales, uk",english113,english,male,439,uk,104470.0
38.0,0.0,"birmingham 2, alabama, usa",english114,english,female,442,usa,63119.0
31.0,0.0,"st. albans, hertfordshire, uk",english115,english,male,443,uk,68202.0
56.0,0.0,"atlanta, georgia, usa",english116,english,male,444,usa,80170.0
60.0,0.0,"elmore, alabama, usa",english117,english,female,445,usa,63829.0
19.0,0.0,"akron, ohio, usa",english118,english,male,446,usa,67202.0
32.0,0.0,"saskatoon, saskatchewan, canada",english119,english,female,455,canada,62533.0
71.0,0.0,"leicester, uk",english12,english,female,69,uk,106357.0
65.0,0.0,"saskatoon, saskatchewan, canada",english120,english,male,456,canada,56198.0
21.0,0.0,"waconia, minnesota, usa",english121,english,male,465,usa,58445.0
28.0,0.0,"riverside, california, usa",english123,english,female,469,usa,39849.0
38.0,0.0,"brooklyn, new york, usa",english124,english,male,480,usa,53486.0
28.0,0.0,"st. george, queensland, australia",english125,english,male,485,australia,21668.0
34.0,0.0,"cincinnati, ohio, usa",english126,english,female,487,usa,54905.0
39.0,0.0,"new britain, connecticut, usa",english127,english,male,489,usa,50085.0
20.0,0.0,"miami, florida, usa",english128,english,female,490,usa,63165.0
25.0,0.0,"blackpool, lancashire, uk",english129,english,male,492,uk,66668.0
69.0,0.0,"henley on thames, oxfordshire, uk",english13,english,male,70,uk,81743.0
23.0,0.0,"west palm beach, florida, usa",english131,english,male,497,usa,59190.0
18.0,0.0,"toronto, ontario, canada",english132,english,female,503,canada,68748.0
36.0,0.0,"norwich, new york, usa",english133,english,female,504,usa,54886.0
22.0,0.0,"belfast, northern ireland, uk",english134,english,female,506,uk,72194.0
22.0,0.0,"orange beach, alabama, usa",english135,english,male,507,usa,72647.0
25.0,0.0,"calgary, alberta, canada",english136,english,male,508,canada,25077.0
26.0,0.0,"charleston, west virginia, usa",english137,english,male,509,usa,60860.0
25.0,0.0,"palmer, alaska, usa",english138,english,female,510,usa,64612.0
20.0,0.0,"providence, rhode island, usa",english139,english,male,511,usa,55483.0
40.0,0.0,"belfast, northern ireland, uk",english14,english,male,71,uk,69959.0
19.0,0.0,"york, uk",english141,english,male,516,uk,56747.0
19.0,0.0,"avon, new york, usa",english142,english,male,517,usa,60369.0
42.0,0.0,"minneapolis, minnesota, usa",english143,english,male,518,usa,93111.0
24.0,0.0,"barneys river, nova scotia, canada",english144,english,male,519,canada,67411.0
18.0,0.0,"bury st. edmunds, uk",english145,english,male,521,uk,26295.0
22.0,0.0,"blytheville, arkansas, usa",english146,english,male,522,usa,64060.0
40.0,0.0,"merced, california, usa",english147,english,female,523,usa,53407.0
31.0,0.0,"sydney, australia",english148,english,male,525,australia,60314.0
18.0,0.0,"lawrenceville, georgia, usa",english149,english,male,526,usa,51988.0
7.0,0.0,"norton, virginia, usa",english15,english,female,72,usa,75741.0
31.0,0.0,"brownsville, kentucky, usa",english150,english,male,527,usa,55619.0
18.0,0.0,"baltimore, maryland, usa",english151,english,male,528,usa,63794.0
18.0,0.0,"adelaide, australia",english152,english,male,529,australia,96368.0
35.0,0.0,"brisbane, australia",english153,english,male,533,australia,49174.0
28.0,0.0,"glace bay, nova scotia, canada",english154,english,male,534,canada,72301.0
35.0,0.0,"oakland, california, usa",english155,english,male,535,usa,51876.0
35.0,0.0,"fort worth, texas, usa",english157,english,male,538,usa,46584.0
18.0,0.0,"washington, district of columbia, usa",english158,english,female,540,usa,53292.0
18.0,0.0,"ottawa, ontario, canada",english159,english,male,541,canada,95417.0
21.0,0.0,"wise, virginia, usa",english16,english,male,73,usa,61905.0
21.0,0.0,"redwood falls, minnesota, usa",english160,english,female,542,usa,76198.0
75.0,0.0,"wakefield, ohio, usa",english161,english,female,546,usa,91879.0
41.0,0.0,"delaware, ohio, usa",english162,english,female,548,usa,72429.0
41.0,0.0,"fairview park, ohio, usa",english163,english,male,547,usa,79971.0
38.0,0.0,"leeds, uk",english164,english,male,549,uk,72430.0
43.0,0.0,"detroit, michigan, usa",english165,english,female,550,usa,73511.0
18.0,0.0,"glenside, pennsylvania, usa",english166,english,male,551,usa,46490.0
43.0,0.0,"lakeview, michigan, usa",english167,english,male,552,usa,82535.0
40.0,0.0,"oceanside, california, usa",english168,english,male,554,usa,59782.0
18.0,0.0,"cleveland, mississippi, usa",english169,english,male,555,usa,63637.0
79.0,0.0,"darwin va, virginia, usa",english17,english,male,74,usa,34351.0
50.0,0.0,"belmont, mississippi, usa",english170,english,female,556,usa,39836.0
21.0,0.0,"st. louis, missouri, usa",english171,english,male,563,usa,69785.0
19.0,0.0,"libertyville, illinois, usa",english173,english,male,567,usa,74698.0
24.0,0.0,"seattle, washington, usa",english175,english,male,572,usa,50340.0
18.0,0.0,"elizabeth city, north carolina, usa",english176,english,female,573,usa,107643.0
23.0,0.0,"new orleans, louisiana, usa",english177,english,female,574,usa,38026.0
30.0,0.0,"wilkes-barre, pennsylvania, usa",english178,english,male,583,usa,49980.0
57.0,0.0,"huron, south dakota, usa",english179,english,male,584,usa,70927.0
39.0,0.0,"dickenson county, virginia, usa",english18,english,female,75,usa,56765.0
20.0,0.0,"newport, rhode island, usa",english180,english,male,585,usa,54281.0
68.0,0.0,"new eagle, pennsylvania, usa",english181,english,male,586,usa,38525.0
50.0,0.0,"troy, new york, usa",english182,english,male,590,usa,51381.0
18.0,0.0,"hillsboro, oregon, usa",english184,english,female,597,usa,41087.0
38.0,0.0,"oxford, uk",english185,english,male,604,uk,69763.0
39.0,0.0,"gadsden, alabama, usa",english186,english,female,605,usa,69761.0
42.0,0.0,"algona, iowa, usa",english187,english,female,606,usa,76042.0
35.0,0.0,"edinburgh, scotland, uk",english188,english,male,611,uk,58681.0
19.0,0.0,"grand forks, north dakota, usa",english189,english,male,617,usa,72213.0
53.0,0.0,"louisville, kentucky, usa",english19,english,male,76,usa,61658.0
27.0,0.0,"oak park, illinois, usa",english190,english,male,618,usa,54844.0
19.0,0.0,"las cruces, new mexico, usa",english191,english,male,631,usa,86314.0
27.0,0.0,"east lansing, michigan, usa",english192,english,female,636,usa,60098.0
32.0,0.0,"honolulu, hawaii, usa",english193,english,male,637,usa,53602.0
19.0,0.0,"manchester, england, uk",english194,english,male,638,uk,73251.0
21.0,0.0,"delavan, wisconsin, usa",english195,english,female,639,usa,91590.0
22.0,0.0,"iowa city, iowa, usa",english197,english,male,662,usa,63871.0
56.0,0.0,"washington, district of columbia, usa",english198,english,male,663,usa,66972.0
25.0,0.0,"bay shore, new york, usa",english199,english,male,664,usa,71118.0
30.0,0.0,"birmingham, uk",english2,english,female,77,uk,47076.0
27.0,0.0,"mt. holly, north carolina, usa",english20,english,female,78,usa,67326.0
22.0,0.0,"berkeley, california, usa",english200,english,female,667,usa,56529.0
26.0,0.0,"warren, michigan, usa",english201,english,female,668,usa,43072.0
19.0,0.0,"crisfield, maryland, usa",english202,english,male,673,usa,45826.0
63.0,0.0,"boston, massachusetts, usa",english203,english,female,674,usa,83681.0
53.0,0.0,"chicago, illinois, usa",english204,english,male,678,usa,30435.0
45.0,0.0,"blue earth, minnesota, usa",english205,english,female,679,usa,59173.0
35.0,0.0,"hucknall, nottinghamshire, england, uk",english206,english,female,680,uk,103033.0
23.0,0.0,"wilkes-barre, pennsylvania, usa",english207,english,female,684,usa,94610.0
46.0,0.0,"washington, dc, usa",english208,english,male,695,usa,53543.0
37.0,0.0,"boston, massachusetts, usa",english21,english,female,79,usa,48987.0
23.0,0.0,"trenton, nova scotia, canada",english210,english,female,705,canada,49672.0
30.0,0.0,"worcester, massachusetts, usa",english211,english,male,720,usa,70603.0
24.0,0.0,"spartanburg, south carolina, usa",english212,english,male,729,usa,42042.0
38.0,0.0,"dodge city, kansas, usa",english213,english,male,734,usa,44857.0
26.0,0.0,"myrtle beach, south carolina, usa",english214,english,male,737,usa,48548.0
20.0,0.0,"lemington spa, warwickshire, uk",english215,english,male,738,uk,68623.0
48.0,0.0,"chicago, illinois, usa",english216,english,female,739,usa,43934.0
66.0,0.0,"harrow, middlesex, uk",english217,english,male,740,uk,66534.0
27.0,0.0,"abingdon, virginia, usa",english218,english,female,747,usa,42234.0
38.0,0.0,"oakland, california, usa",english219,english,female,748,usa,76006.0
18.0,0.0,"anaheim, california, usa",english220,english,female,749,usa,83176.0
45.0,0.0,"london, uk",english221,english,male,754,uk,54970.0
18.0,0.0,"auburn, indiana, usa",english222,english,female,764,usa,48480.0
18.0,0.0,"erie, pennsylvania, usa",english223,english,male,767,usa,75437.0
50.0,0.0,"dundee, scotland, uk",english225,english,male,771,uk,86335.0
38.0,0.0,"walton-on-thames, surrey, uk",english226,english,male,772,uk,62213.0
42.0,0.0,"camberley, surrey, uk",english227,english,female,773,uk,91503.0
59.0,0.0,"glasgow, scotland, uk",english228,english,female,774,uk,62411.0
25.0,0.0,"burlington, vermont, usa",english229,english,male,775,usa,49005.0
43.0,0.0,"englewood, tennessee, usa",english23,english,male,81,usa,71482.0
35.0,0.0,"launceston, tasmania, australia",english230,english,male,776,australia,96170.0
22.0,0.0,"tampa, florida, usa",english231,english,male,791,usa,52225.0
32.0,0.0,"metairie, louisiana, usa",english232,english,female,798,usa,57693.0
26.0,0.0,"edmonton, alberta, canada",english233,english,female,793,canada,31904.0
49.0,0.0,"bloomington, indiana, usa",english234,english,male,794,usa,69483.0
52.0,0.0,"richmond, virginia, usa",english235,english,female,795,usa,107038.0
44.0,0.0,"st. charles, illinois, usa",english236,english,male,799,usa,49285.0
22.0,0.0,"jeffersonville, ohio, usa",english237,english,female,801,usa,58556.0
21.0,0.0,"vancouver, british  columbia, canada",english238,english,female,802,canada,19060.0
37.0,0.0,"glasgow, scotland, uk",english24,english,male,82,uk,73471.0
26.0,0.0,"guelph, ontario, canada",english240,english,male,815,canada,43076.0
77.0,0.0,"laurel, mississippi, usa",english242,english,female,818,usa,90494.0
27.0,0.0,"fredericton, new brunswick, canada",english243,english,male,820,canada,76990.0
23.0,0.0,"san francisco, california, usa",english244,english,male,821,usa,46561.0
25.0,0.0,"pittsburgh, pennsylvania, usa",english245,english,male,824,usa,32457.0
32.0,0.0,"los angeles, california, usa",english246,english,male,825,usa,44542.0
33.0,0.0,"prince rupert, british columbia, canada",english247,english,male,835,canada,68098.0
18.0,0.0,"philadelphia, pennsylvania, usa",english248,english,female,840,usa,98955.0
29.0,0.0,"boston, massachusetts, usa",english249,english,female,850,usa,53953.0
57.0,0.0,"atlanta, georgia, usa",english25,english,male,83,usa,79316.0
19.0,0.0,"chester, england, uk",english250,english,male,852,uk,105704.0
21.0,0.0,"mt. kisco, new york, usa",english251,english,male,855,usa,55705.0
25.0,0.0,"san jose ca, california, usa",english252,english,female,856,usa,50816.0
39.0,0.0,"eugene, oregon, usa",english254,english,male,858,usa,56562.0
23.0,0.0,"laurinburg, north carolina, usa",english256,english,male,861,usa,66880.0
24.0,0.0,"san diego, california, usa",english257,english,male,863,usa,88408.0
71.0,0.0,"smith island, maryland, usa",english26,english,male,84,usa,98017.0
18.0,0.0,"phoenix, arizona, usa",english260,english,female,871,usa,46232.0
59.0,0.0,"forestville, maryland, usa",english261,english,female,875,usa,65993.0
60.0,0.0,"naylor, maryland, usa",english262,english,male,876,usa,57503.0
21.0,0.0,"oak forest, illinois, usa",english263,english,male,884,usa,47465.0
21.0,0.0,"freemont, california, usa",english264,english,male,889,usa,84470.0
31.0,0.0,"vancouver wa, washington, usa",english265,english,male,890,usa,51674.0
18.0,0.0,"san diego, california, usa",english266,english,male,899,usa,89763.0
66.0,0.0,"leeds, uk",english267,english,male,900,uk,56687.0
67.0,0.0,"leeds, uk",english268,english,female,901,uk,50426.0
22.0,0.0,"adelaide, australia",english269,english,female,902,australia,56312.0
37.0,0.0,"smith island, maryland, usa",english27,english,female,85,usa,82212.0
20.0,0.0,"dallas, texas, usa",english272,english,male,905,usa,65952.0
46.0,0.0,"blue bell, pennsylvania, usa",english273,english,male,907,usa,69135.0
25.0,0.0,"sydney, australia",english274,english,female,909,australia,90412.0
20.0,0.0,"clifton, new jersey, usa",english275,english,female,912,usa,59681.0
50.0,0.0,"chattanooga, tennessee, usa",english276,english,female,918,usa,61919.0
48.0,0.0,"hudson, new york, usa",english277,english,female,919,usa,89683.0
18.0,0.0,"augusta, georgia, usa",english278,english,female,921,usa,28158.0
54.0,0.0,"toronto, ontario, canada",english28,english,male,86,canada,68338.0
23.0,0.0,"ramsey mn, minnesota, usa",english281,english,male,937,usa,104261.0
20.0,0.0,"tampa, florida, usa",english282,english,male,939,usa,59649.0
18.0,0.0,"pelham, new york, usa",english283,english,male,951,usa,58454.0
33.0,0.0,"gainesville, florida, usa",english284,english,male,952,usa,63087.0
50.0,0.0,"melbourne, australia",english285,english,male,961,australia,67948.0
21.0,0.0,"beaumont, texas, usa",english286,english,female,977,usa,96385.0
26.0,0.0,"st. louis, missouri, usa",english288,english,female,982,usa,99935.0
19.0,0.0,"fairfax, virginia, usa",english289,english,female,983,usa,75243.0
54.0,0.0,"lindsay, ontario, canada",english29,english,female,87,canada,122919.0
20.0,0.0,"duluth, georgia, usa",english290,english,male,986,usa,46845.0
38.0,0.0,"kansas city, missouri, usa",english292,english,male,1051,usa,72921.0
22.0,0.0,"billings, montana, usa",english293,english,female,1052,usa,80930.0
19.0,0.0,"naracoorte, australia",english294,english,female,1060,australia,74675.0
25.0,0.0,"airdrie, alberta, canada",english295,english,male,1067,canada,74079.0
18.0,0.0,"edmonton, alberta, canada",english296,english,female,1070,canada,95464.0
19.0,0.0,"lindenhurst, new york, usa",english297,english,male,1071,usa,96052.0
22.0,0.0,"lismore, new south wales, australia",english298,english,male,1072,australia,45699.0
59.0,0.0,"windsor, ontario, canada",english299,english,male,1075,canada,104364.0
26.0,0.0,"brisbane, australia",english3,english,female,88,australia,50404.0
30.0,0.0,"st. mary's, ontario, canada",english30,english,female,89,canada,86274.0
41.0,0.0,"toronto, ontario, canada",english301,english,male,1078,canada,40109.0
22.0,0.0,"melbourne, australia",english302,english,male,1085,australia,89654.0
45.0,0.0,"anaheim, california, usa",english303,english,female,1086,usa,85738.0
24.0,0.0,"london, uk",english306,english,female,1093,uk,55107.0
48.0,0.0,"alexandria, va, usa",english307,english,male,1100,usa,80269.0
34.0,0.0,"cardiff, wales, uk",english308,english,male,1101,uk,70239.0
37.0,0.0,"oxford, uk",english310,english,female,1108,uk,57829.0
38.0,0.0,"detroit, michigan, usa",english311,english,female,1110,usa,74138.0
40.0,0.0,"edmonton, alberta, canada",english312,english,female,1113,canada,55655.0
28.0,0.0,"silver spring, maryland, usa",english313,english,male,1119,usa,88871.0
26.0,0.0,"memphis, tennessee, usa",english314,english,female,1120,usa,55152.0
25.0,0.0,"los angeles, california, usa",english315,english,male,1121,usa,82637.0
33.0,0.0,"sacramento, california, usa",english316,english,male,1122,usa,58677.0
26.0,0.0,"burlington, vermont, usa",english317,english,male,1132,usa,9593.0
46.0,0.0,"sarnia, ontario, canada",english318,english,male,1137,canada,54696.0
29.0,0.0,"grimsby, lincolnshire, uk",english319,english,male,1138,uk,49684.0
50.0,0.0,"fresno, california, usa",english32,english,female,91,usa,83341.0
52.0,0.0,"brooklyn, new york, usa",english321,english,male,1163,usa,57124.0
29.0,0.0,"yorkton, saskatchewan, canada",english322,english,male,1172,canada,66688.0
31.0,0.0,"regina, saskatchewan, canada",english323,english,female,1173,canada,62809.0
28.0,0.0,"st. marys, ontario, canada",english324,english,male,1174,canada,94872.0
32.0,0.0,"reading, pennsylvania, usa",english325,english,male,1176,usa,81735.0
53.0,0.0,"fairborn, ohio, usa",english326,english,male,1188,usa,54541.0
27.0,0.0,"dunedin, florida, usa",english327,english,male,1205,usa,67516.0
23.0,0.0,"hollywood, florida, usa",english328,english,female,1206,usa,56805.0
21.0,0.0,"boise, idaho, usa",english329,english,female,1207,usa,27182.0
21.0,0.0,"san diego, california, usa",english33,english,male,92,usa,66359.0
18.0,0.0,"augusta, georgia, usa",english330,english,female,1208,usa,84615.0
28.0,0.0,"perth, australia",english331,english,female,1209,australia,104807.0
20.0,0.0,"baltimore, maryland, usa",english332,english,female,1212,usa,95623.0
32.0,0.0,"spokane, washington, usa",english333,english,female,1214,usa,47262.0
18.0,0.0,"derby, england, uk",english334,english,female,1215,uk,113036.0
6.0,0.0,"washington, district of columbia, usa",english335,english,male,1216,usa,95815.0
46.0,0.0,"baltimore, maryland, usa",english336,english,female,1217,usa,127619.0
84.0,0.0,"jersey city, new jersey, usa",english337,english,female,1218,usa,63399.0
53.0,0.0,"sydney, australia",english338,english,female,1219,australia,44809.0
